[Thu Feb 06 22:53:21 2014] [error] [client 24.20.209.246] PHP Notice:  Undefined index: username in /var/www/carpool/home.php on line 107, referer: http://carpoolme.net/
[Fri Feb 07 13:08:10 2014] [error] [client 24.20.209.246] PHP Parse error:  syntax error, unexpected T_ELSE in /var/www/carpool/scripts/phpfunctions.php on line 31, referer: http://carpoolme.net/
[Fri Feb 07 13:15:34 2014] [error] [client 24.20.209.246] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/carpool/scripts/phpfunctions.php on line 52, referer: http://carpoolme.net/
[Fri Feb 07 13:17:59 2014] [error] [client 24.20.209.246] (13)Permission denied: file permissions deny server access: /var/www/carpool/images/apple-touch-icon.png
[Fri Feb 07 13:18:24 2014] [error] [client 24.20.209.246] (13)Permission denied: file permissions deny server access: /var/www/carpool/images/apple-touch-icon.png
[Fri Feb 07 13:19:13 2014] [error] [client 24.20.209.246] (13)Permission denied: file permissions deny server access: /var/www/carpool/images/apple-touch-icon.png
[Fri Feb 07 13:21:07 2014] [error] [client 24.20.209.246] (13)Permission denied: file permissions deny server access: /var/www/carpool/images/apple-touch-icon.png
[Fri Feb 07 13:37:48 2014] [error] [client 24.20.209.246] PHP Parse error:  syntax error, unexpected T_VARIABLE in /var/www/carpool/test/myRide.php on line 12, referer: http://carpoolme.net/
[Fri Feb 07 13:38:18 2014] [error] [client 24.20.209.246] PHP Parse error:  syntax error, unexpected T_VARIABLE in /var/www/carpool/test/myRide.php on line 12, referer: http://carpoolme.net/
[Fri Feb 07 13:38:48 2014] [error] [client 24.20.209.246] PHP Parse error:  syntax error, unexpected T_VARIABLE in /var/www/carpool/test/myRide.php on line 12, referer: http://carpoolme.net/
[Fri Feb 07 13:41:44 2014] [error] [client 24.20.209.246] PHP Notice:  Constant INCLUDE_CHECK already defined in /var/www/carpool/scripts/parts.php on line 12, referer: http://carpoolme.net/
[Fri Feb 07 13:43:16 2014] [error] [client 24.20.209.246] PHP Notice:  Constant INCLUDE_CHECK already defined in /var/www/carpool/scripts/parts.php on line 12
[Fri Feb 07 13:43:27 2014] [error] [client 24.20.209.246] PHP Notice:  Undefined index: usernamel in /var/www/carpool/scripts/login.php on line 14, referer: http://carpoolme.net/
[Fri Feb 07 13:43:27 2014] [error] [client 24.20.209.246] PHP Notice:  Undefined index: passwordl in /var/www/carpool/scripts/login.php on line 15, referer: http://carpoolme.net/
[Fri Feb 07 13:43:27 2014] [error] [client 24.20.209.246] PHP Notice:  Undefined index: typel in /var/www/carpool/scripts/login.php on line 16, referer: http://carpoolme.net/
[Fri Feb 07 13:43:34 2014] [error] [client 24.20.209.246] PHP Notice:  Undefined index: usernamel in /var/www/carpool/scripts/login.php on line 14, referer: http://carpoolme.net/
[Fri Feb 07 13:43:34 2014] [error] [client 24.20.209.246] PHP Notice:  Undefined index: passwordl in /var/www/carpool/scripts/login.php on line 15, referer: http://carpoolme.net/
[Fri Feb 07 13:43:34 2014] [error] [client 24.20.209.246] PHP Notice:  Undefined index: typel in /var/www/carpool/scripts/login.php on line 16, referer: http://carpoolme.net/
